30203,A4,E40,137,585,147,691,10,106,W?ZE? K?TY WR. /DW347/-W?ZE? PIETRZYKOWICE /DW348/ ,46055,67,29247,3896,1992,10529,324,0,0,2,79
30217,A4,E40,147,691,150,667,2,976,W?ZE? PIETRZYKOWICE /DW348/-W?ZE? WROC?AW PO?UDNIE /DK S8 i A8/ ,49366,53,31626,4300,2507,10594,286,0,0,2,80
30218,A4,E40,150,667,153,452,2,785,W?ZE? WROC?AW PO?UDNIE /DK S8 i A8/-W?ZE? BIELANY WR /DK 5 i 35/. ,50037,63,34508,3697,2032,9468,269,0,0,2,81
30204,A4,E40,153,452,164,674,11,222,W?ZE? BIELANY WR. /DK 5 i 35/-W?ZE? WROC?AW WSCH?D /DW395/ ,38749,37,25872,2816,1171,8634,219,0,0,2,82
30205,A4,E40,164,674,178,849,14,175,W?ZE? WROC?AW WSCH?D /DW395/-W?ZE? BRZEZIMIERZ /DW396/ ,35011,39,21845,2876,1177,8834,239,1,0,2,83
30207,A4,E40,178,849,194,259,15,410,W?ZE? BRZEZIMIERZ /DW396/-W?ZE? PRZYLESIE /DW401/ ,32188,42,19410,3390,1064,8039,243,0,1,2,84
40914,A4,E40,194,259,222,552,28,293,W?ZE? BRZEG-W?ZE? OPOLE ZACH?D ,31746,40,18797,3210,1079,8376,244,0,0,16,85
41313,A4,E40,222,552,244,552,22,0,W?ZE? OPOLE ZACH?D-W?ZE? OPOLE PO?UDNIE ,28213,39,16891,2283,900,7921,179,0,0,16,86
41013,A4,E40,244,552,251,516,6,964,W?ZE? OPOLE PO?UDNIE-W?ZE? KRAPKOWICE ,29195,43,17526,3047,933,7448,198,0,0,16,87
41014,A4,E40,251,516,273,111,21,595,W?ZE? KRAPKOWICE-W?ZE? K?DZIERZYN KO?LE ,29553,45,17917,3115,801,7477,198,0,0,16,88
41015,A4,E40,273,111,278,662,5,551,W?ZE? K?DZIERZYN KO?LE-W?ZE? STRZELCE OPOLSKIE ,30119,37,17784,2785,1225,8040,248,0,0,16,89
40301,A4,E40,278,662,287,764,9,102,W?ZE? STRZELCE OPOLSKIE-W?ZE? ?ANY ,35502,57,21985,3521,1272,8363,304,0,0,24,90
40302,A4,E40,287,764,296,565,8,801,W?ZE? ?ANY-W?ZE? KLESZCZ?W ,37883,65,23690,3848,1230,8748,301,1,0,24,91
40327,A4,E40,296,565,304,844,8,279,W?ZE? KLESZCZ?W-W?ZE? GLIWICE OSTROPA ,34656,61,21856,3538,819,8135,246,1,0,24,92
40328,A4,E40,304,844,311,38,6,194,W?ZE? GLIWICE OSTROPA-W?ZE? GLIWICE BOJK?W ,38049,69,24139,3862,1010,8712,257,0,0,24,93
40329,A4,E40,311,38,315,686,4,648,W?ZE? GLIWICE BOJK?W-W?ZE? GLIWICE SO?NICA ,38968,71,26099,3078,987,8492,237,4,0,24,94
40747,A4,E40,315,686,325,716,10,30,W?ZE? GLIWICE SO?NICA-W?ZE? RUDA ?L?SKA ,58483,148,44342,5308,1287,7103,294,1,0,24,95
40622,A4,E40,325,716,331,829,6,113,W?ZE? RUDA ?L?SKA-W?ZE? CHORZ?W ,61116,155,47396,4867,1275,7130,293,0,0,24,96
40617,A4,E40,331,829,336,423,4,594,CHORZ?W-KATOWICE ,56797,141,43675,4802,1174,6718,287,0,0,24,97
40606,A4,E40,336,423,340,302,3,879,KATOWICE/PRZEJ?CIE/ ,100983,245,84030,6722,1759,7749,470,8,1,24,98
40748,A4,E40,340,302,346,643,6,341,KATOWICE-W?ZE? MYS?OWICE MORGI ,57113,119,45162,3355,1363,6626,480,8,0,24,99
40615,A4,E40,346,643,349,511,2,868,W?ZE? MYS?OWICE MORGI-W?ZE? MYS?OWICE BRZ?CZKOWICE /S-1/ ,59489,114,46204,4365,1528,6827,451,0,0,24,100
40614,A4,E40/E462,349,511,365,329,15,818,W?ZE? MYS?OWICE BRZ?CZKOWICE-W?ZE? JAWORZNO WSCH?D /DK 79/ ,36431,62,27559,3052,767,4481,509,1,0,24,101
20413,A4,E40/E462,365,329,371,430,6,101,W?ZE? CHRZAN?W/BYCZYNA/-W?ZE? CHRZAN?W/TRZEBINIA/ ,40252,82,29640,3038,1613,5360,519,0,0,12,102
20414,A4,E40/E462,371,430,401,234,29,804,W?ZE? CHRZAN?W/TRZEBINIA/-W?ZE? BALICE I ,37390,62,28852,2347,921,4660,548,0,0,12,103
20415,A4,E40/E77,401,234,402,971,1,737,W?ZE? BALICE I-W?ZE? BALICE II/LOTNISKO/ ,49637,115,37734,3793,1640,6138,217,0,0,12,104
20416,A4,E40/E77,402,971,406,231,3,260,W?ZE? BALICE II/LOTNISKO/-W?ZE? KRAK?W/PIEKARY/ ,54175,112,41089,3975,2148,6674,177,0,0,12,105
20417,A4,E40/E77,406,231,409,14,2,783,W?ZE? KRAK?W/PIEKARY/-W?ZE? KRAK?W/TYNIEC/ ,58630,156,45631,4412,2418,5852,160,1,0,12,106
20418,A4,E40/E77,409,14,412,624,3,610,W?ZE? KRAK?W/TYNIEC/-W?ZE? KRAK?W/SIDZINA/ ,64066,160,50078,5236,2005,6449,138,0,0,12,107
20419,A4,E40/E77,412,624,417,199,4,575,W?ZE? KRAK?W/SIDZINA/-W?ZE? KRAK?W/OPATKOWICE/ ,50255,139,36464,5243,2193,6098,118,0,0,12,108
20511,A4,E40,417,199,419,225,2,26,W?ZE? OPATKOWICE-W?ZE? ?AGIEWNIKI ,53017,125,40301,4624,2133,5661,172,1,0,12,109
20503,A4,E40,419,225,425,46,5,821,W?ZE? ?AGIEWNIKI-W?ZE? WIELICZKA ,42375,96,31773,3392,1559,5446,109,0,0,12,110
20512,A4,E40,425,46,428,379,3,333,W?ZE? WIELICZKA-W?ZE? BIE?AN?W ,38675,77,29294,3278,1471,4206,349,0,0,12,111
20513,A4,E40,428,379,444,834,16,455,W?ZE? BIE?AN?W-W?ZE? TARGOWISKO ,34022,56,27053,1914,852,3743,404,0,0,12,112
20919,A4,E40,444,834,458,469,13,635,W?ZE? TARGOWISKO-W?ZE? BOCHNIA ,30638,53,23206,2227,947,3833,372,0,0,12,113
20920,A4,E40,458,469,468,378,9,909,W?ZE? BOCHNIA-W?ZE? BRZESKO ,26706,55,19529,1851,1136,3772,363,0,0,12,114
20921,A4,E40,468,378,488,405,20,27,W?ZE? BRZESKO-W?ZE? TARN?W ZACH?D ,23576,36,17628,1614,1062,2995,241,0,0,12,115
